,Clean_Text
0,period falling love time met especially met long time
1,involved traffic accident
2,driving home days hard work motorist ahead driving 50 km/hour refused despite low speeed let overtake
3,lost person meant me
4,time knocked deer  sight animals injuries helplessness realization animal badly hurt down animal screamed moment death
5,speak truth
6,caused problems somebody appointed time led consequences
7,got letter offering Summer job applied for
8,going home night Paris man came asked afraid late night
9,talking party time long friend came interrupted left
10,friends ask New Years party them
11,saw drunk kids (1314 years old) town Walpurgis night
12,remember presentation task accounts meeting
13,uncle neighbour came home police escort
14,time imagine love contact illness death
15,obviously unjustly treated possibility elucidating this
16,think short time live relate periods life think use short time
17,gathering found involuntarily sitting people expressed opinions considered low discriminating
18,realized directing feelings discontent partner way trying blame instead sorting feeliings
19,feel guilty realize consider material things important caring relatives feel selfcentered
20,girlfriend taken exam went parents place
21,When time realized meaning death
22,car overtaking forced drive road
23,recently thought hard work takes study wants try else read theoretical book English understand
24,found bristle liver paste tube
25,tired unmotivated shouted girlfriend brought negative sides character actually important
26,think study enough weekend think able accomplished time
27,pass examination think well
28,arranged meet person arrives late meantime starts thinking gone wrong eg traffic accident
29,unjustly accused done
30,ones studies hopelessly difficult uninteresting
31,finds know like thought instance friends steal things like that unwarranted
32,unjust stupid else
33,neglected unjust good friend
34,Passing exam expect pass
35,climbed tree pick apples angle ladder enable high enough implied ladder stable
36,Friends torture animals
37,Friends torture animals
38,children
39,2 year old son climbed sat 7th floor balcony legs hanging out holding tightly upper railing balcony easily lost balance sat down
40,partner attacked lost teeth
41,children TV areas devastated drought war
42,nearly walked blindworm saw crawl away
43,saw 18 year old son grab oxygen mask breathing difficulties bad conscience stopped smoking Medication dilation breathing tubes caused sense guilt me
44,experience sense guilt middle son express like children verbally writing
45,child born
46,winter/spring ice melting far jetty poked ice long branch try break it branch went ice fell in water closed head
47,Unjust accusations directed way acting close me
48,Failing examination
49,drunkard fell started bleeding wet himself Disgust turned sadnessunpleasantness
50,When adult caught lying behaving badly
51,environment person worse me realize privileged am
52,saw person seen long time
53,When child nearly knocked car
54,heard radio football match Belgium ended catastrophe people died understand normal people behave way
55,feel lonely study lot shut appartment happens particular time else
56,learns mass media wars killing going world
57,lied precise cancelled meeting good friend
58,lets friends
59,accepted course finance accounting
60,bus drove right leg event frightening wait emergency ward hours leg began swell frightened
61,Summer job looked particular learn own
62,accepted student finance accounting
63,moved new appartment found ventilator kitchen going clean found drum mud slime felt disgusted
64,elder brother good relationship feel ashamed talk nowadays
65,Summer job new caretaker employed age preferred going lunch accounts personnel him
66,Passed exam 2 points
67,cottage large forest dark
68,spoke JanErik Wikstr÷m telephone
69,Railway station goodbye
70,saw cripple rags small children Italy probably imposter
71,told friend going party enjoy came along understood fitted that
72,reason breakup friends relationship girlfriend finished him
73,passed exam absolutely certain failed
74,way Denmark friend small yatch storm friend blown overboard scared till managed onboard
75,locked out
76,missed tram home walk pouring rain
77,found worms food obviously eaten some
78,friend intoxicated police came took away later contacted parents
79,hapened overhear meant hear
80,trip Greece competition
81,dark suspicious looking character comes me
82,work elderly man complained unjustifiably distrusted me
83,understood lecture
84,alcoholic stood dribbling food counter
85,friend discussing good looks guy realized listening
86,complained colleague manager told complained colleague came believing liked her
87,friends birthday party closest friends pleasant happy good friends
88,way home Friday night heavy rain car acquaplanned lost contact road surface seconds
89,Mad dad
90,case unrequited love
91,bad smelling cucumber
92,Nearly caught masturbating
93,help home
94,felt happy football pools
95,flew Athens Copenhagen holiday plane caught storm began shake thouhght going crash
96,stole bike
97,saw list books read acccouting course thought \ Oh God manaage it\
98,read newspaper article future foresaw eating frogburgers year 2000 illustration showed frog pieces bread
99,dropped bottle state liquor store everyboby started laughing
100,young  14 pinched store caught store contacted parents
101,family gets week holiday Everybody feels free trip planned works enjoy ourselves
102,find 2 year old daughter ran looked find her (I finally found her gone bed sleep)
103,friends try hurt me
104,Marriage crises Boredom
105,makes advances want
106,discovery thought oneself
107,spanked child anger later regretted terribly
108,passed examination repeat
109,drove Stockholm time drove Stora Hissingen road wrong exit
110,boyfriend went away month long holiday me
111,year worked Summer holidays studied time examination repeat boyfriend went Greece holiday month
112,dog left whining outside shop
113,promised help friend weekend promise
114,realized examinations take
115,day told accepted student economics
116,taking short cut Vasa park surrounded people tried steal money scared saved appearance people
117,restaurant observed gypsies tried money cheating foreigners ie non Swedish speaking anger hatred foreigners expression anger feel people 
118,begining new course afraid encountering problems manage Thoughts revolve failing subject consequences future
119,walking town noticed police harrassed man influence alcohol terrified thought arrest driving close pedestrian street disgust directed gestures facial expressions policemen enjoying themselves
120,boyfriend revealed knew discovered things important nature him felt ashamed mentioned earlier
121,dishonest friend close feel guilty know gives different version truth corrected mistakes aware know wrong
